,sentence,gold
10,ते तु पृथक् तन्त्राणि तेनिरे .,"{'tokens': ['ते', 'तु', 'पृथक्', 'तन्त्राणि', 'तेनिरे', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '7'], 'label': 'No_rel'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
11,तेभ्यः अतिविप्रकीर्णेभ्यः प्रायः सारतरउच्चयः क्रियते .,"{'tokens': ['तेभ्यः', 'अतिविप्रकीर्णेभ्यः', 'प्रायः', 'सारतरउच्चयः', 'क्रियते', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'अव्ययीभावः'}, {'span': ['3', '9'], 'label': 'Comp_root'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '9'], 'label': 'Comp_root'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
12,अष्टअङ्गहृदयम् नअतिसङ्क्षेपविस्तरम् (क्रियते) .,"{'tokens': ['अष्टअङ्गहृदयम्', 'नअतिसङ्क्षेपविस्तरम्', '(क्रियते)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'कर्मधारयः'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '10'], 'label': 'Comp_root'}, {'span': ['4', '5'], 'label': 'केवलसमासः'}, {'span': ['5', '6'], 'label': 'सप्तमी-बहुव्रीहिः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
13,कायबालग्रहऊर्ध्वअङ्गशल्यदंष्ट्राजरावृषान् अष्टौ अङ्गानि तस्य आहुः .,"{'tokens': ['कायबालग्रहऊर्ध्वअङ्गशल्यदंष्ट्राजरावृषान्', 'अष्टौ', 'अङ्गानि', 'तस्य', 'आहुः', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'कर्मधारयः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['8', '9'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['9', '15'], 'label': 'Comp_root'}, {'span': ['10', '15'], 'label': 'No_rel'}, {'span': ['11', '15'], 'label': 'No_rel'}, {'span': ['12', '15'], 'label': 'No_rel'}, {'span': ['13', '15'], 'label': 'No_rel'}, {'span': ['14', '15'], 'label': 'No_rel'}, {'span': ['15', '0'], 'label': 'root'}]}"
14,चिकित्सा येषु संश्रिता .,"{'tokens': ['चिकित्सा', 'येषु', 'संश्रिता', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
15,वायुः पित्तम् कफः च इति त्रयः दोषाः समासतः (सन्ति) .,"{'tokens': ['वायुः', 'पित्तम्', 'कफः', 'च', 'इति', 'त्रयः', 'दोषाः', 'समासतः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '11'], 'label': 'No_rel'}, {'span': ['3', '11'], 'label': 'No_rel'}, {'span': ['4', '11'], 'label': 'No_rel'}, {'span': ['5', '11'], 'label': 'No_rel'}, {'span': ['6', '11'], 'label': 'No_rel'}, {'span': ['7', '11'], 'label': 'No_rel'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
16,विकृतअविकृताः देहम् ते घ्नन्ति (ते) वर्तयन्ति च .,"{'tokens': ['विकृतअविकृताः', 'देहम्', 'ते', 'घ्नन्ति', '(ते)', 'वर्तयन्ति', 'च', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'परामर्शः'}, {'span': ['2', '3'], 'label': 'Comp_root'}, {'span': ['3', '11'], 'label': 'परामर्शः'}, {'span': ['4', '11'], 'label': 'No_rel'}, {'span': ['5', '11'], 'label': 'No_rel'}, {'span': ['6', '11'], 'label': 'No_rel'}, {'span': ['7', '11'], 'label': 'No_rel'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
17,ते व्यापिनः अपि हृत्नाभ्योः अधोमध्यऊर्ध्वसंश्रयाः .,"{'tokens': ['ते', 'व्यापिनः', 'अपि', 'हृत्नाभ्योः', 'अधोमध्यऊर्ध्वसंश्रयाः', '.'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '11'], 'label': 'No_rel'}, {'span': ['3', '11'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '11'], 'label': 'Comp_root'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['8', '9'], 'label': 'षष्ठी-बहुव्रीहिः'}, {'span': ['9', '11'], 'label': 'Comp_root'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
18,वयःअहःरात्रिभुक्तानाम् ते अन्तमध्यआदिगाः क्रमात् (भवन्ति) .,"{'tokens': ['वयःअहःरात्रिभुक्तानाम्', 'ते', 'अन्तमध्यआदिगाः', 'क्रमात्', '(भवन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '13'], 'label': 'Comp_root'}, {'span': ['5', '13'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['8', '9'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['9', '13'], 'label': 'Comp_root'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
19,तैः भवेत् विषमः तीक्ष्णः मन्दः च अग्निः .,"{'tokens': ['तैः', 'भवेत्', 'विषमः', 'तीक्ष्णः', 'मन्दः', 'च', 'अग्निः', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
20,समैः समः (भवेत्) .,"{'tokens': ['समैः', 'समः', '(भवेत्)', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
21,कोष्ठः क्रूरः मृदुः मध्यः (वा) (स्यात्) (तैः) .,"{'tokens': ['कोष्ठः', 'क्रूरः', 'मृदुः', 'मध्यः', '(वा)', '(स्यात्)', '(तैः)', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
22,मध्यः स्यात् तैः समैः अपि .,"{'tokens': ['मध्यः', 'स्यात्', 'तैः', 'समैः', 'अपि', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '7'], 'label': 'No_rel'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
23,शुक्रआर्तवस्थैः (दोषैः) जन्मआदौ विषेण इव विषक्रिमेः (जन्म) (भवति) तैः च तिस्रः प्रकृतयः हीनमध्यउत्तमाः पृथक् समधातुः समस्तासु श्रेष्ठा निन्द्याः द्विदोषजाः (भवन्ति) .,"{'tokens': ['शुक्रआर्तवस्थैः', '(दोषैः)', 'जन्मआदौ', 'विषेण', 'इव', 'विषक्रिमेः', '(जन्म)', '(भवति)', 'तैः', 'च', 'तिस्रः', 'प्रकृतयः', 'हीनमध्यउत्तमाः', 'पृथक्', 'समधातुः', 'समस्तासु', 'श्रेष्ठा', 'निन्द्याः', 'द्विदोषजाः', '(भवन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['3', '31'], 'label': 'Comp_root'}, {'span': ['4', '31'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '31'], 'label': 'Comp_root'}, {'span': ['7', '31'], 'label': 'No_rel'}, {'span': ['8', '31'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'मध्यमपदलोपी-कर्मधारयः'}, {'span': ['10', '31'], 'label': 'Comp_root'}, {'span': ['11', '31'], 'label': 'No_rel'}, {'span': ['12', '31'], 'label': 'No_rel'}, {'span': ['13', '31'], 'label': 'No_rel'}, {'span': ['14', '31'], 'label': 'No_rel'}, {'span': ['15', '31'], 'label': 'No_rel'}, {'span': ['16', '31'], 'label': 'No_rel'}, {'span': ['17', '18'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['18', '19'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['19', '31'], 'label': 'Comp_root'}, {'span': ['20', '31'], 'label': 'No_rel'}, {'span': ['21', '22'], 'label': 'बहुव्रीहिः'}, {'span': ['22', '31'], 'label': 'Comp_root'}, {'span': ['23', '31'], 'label': 'No_rel'}, {'span': ['24', '31'], 'label': 'No_rel'}, {'span': ['25', '31'], 'label': 'No_rel'}, {'span': ['26', '27'], 'label': 'समाहार-द्विगुः'}, {'span': ['27', '28'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['28', '31'], 'label': 'Comp_root'}, {'span': ['29', '31'], 'label': 'No_rel'}, {'span': ['30', '31'], 'label': 'No_rel'}, {'span': ['31', '0'], 'label': 'root'}]}"
24,तत्र रूक्षः लघुः शीतः खरः सूक्ष्मः चलः (च) अनिलः (अस्ति) .,"{'tokens': ['तत्र', 'रूक्षः', 'लघुः', 'शीतः', 'खरः', 'सूक्ष्मः', 'चलः', '(च)', 'अनिलः', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '12'], 'label': 'No_rel'}, {'span': ['2', '12'], 'label': 'No_rel'}, {'span': ['3', '12'], 'label': 'No_rel'}, {'span': ['4', '12'], 'label': 'No_rel'}, {'span': ['5', '12'], 'label': 'No_rel'}, {'span': ['6', '12'], 'label': 'No_rel'}, {'span': ['7', '12'], 'label': 'No_rel'}, {'span': ['8', '12'], 'label': 'No_rel'}, {'span': ['9', '12'], 'label': 'No_rel'}, {'span': ['10', '12'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'No_rel'}, {'span': ['12', '0'], 'label': 'root'}]}"
25,पित्तम् सस्नेहतीक्ष्णउष्णम् लघु विस्रम् सरम् द्रवम् (च) (अस्ति) .,"{'tokens': ['पित्तम्', 'सस्नेहतीक्ष्णउष्णम्', 'लघु', 'विस्रम्', 'सरम्', 'द्रवम्', '(च)', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'सहपूर्वपद-व्यधिकरण-बहुव्रीहिः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '13'], 'label': 'Comp_root'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
26,स्निग्धः शीतः गुरुः मन्दः श्लक्ष्णः मृत्स्नः स्थिरः (च) (अस्ति) कफः .,"{'tokens': ['स्निग्धः', 'शीतः', 'गुरुः', 'मन्दः', 'श्लक्ष्णः', 'मृत्स्नः', 'स्थिरः', '(च)', '(अस्ति)', 'कफः', '.'], 'compounds': [{'span': ['1', '12'], 'label': 'No_rel'}, {'span': ['2', '12'], 'label': 'No_rel'}, {'span': ['3', '12'], 'label': 'No_rel'}, {'span': ['4', '12'], 'label': 'No_rel'}, {'span': ['5', '12'], 'label': 'No_rel'}, {'span': ['6', '12'], 'label': 'No_rel'}, {'span': ['7', '12'], 'label': 'No_rel'}, {'span': ['8', '12'], 'label': 'No_rel'}, {'span': ['9', '12'], 'label': 'No_rel'}, {'span': ['10', '12'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'No_rel'}, {'span': ['12', '0'], 'label': 'root'}]}"
27,संसर्गः सन्निपातः च तत् द्वित्रिक्षयकोपतः (क्रमेण) (भवति) .,"{'tokens': ['संसर्गः', 'सन्निपातः', 'च', 'तत्', 'द्वित्रिक्षयकोपतः', '(क्रमेण)', '(भवति)', '.'], 'compounds': [{'span': ['1', '12'], 'label': 'No_rel'}, {'span': ['2', '12'], 'label': 'No_rel'}, {'span': ['3', '12'], 'label': 'No_rel'}, {'span': ['4', '12'], 'label': 'No_rel'}, {'span': ['5', '12'], 'label': 'No_rel'}, {'span': ['6', '12'], 'label': 'No_rel'}, {'span': ['7', '12'], 'label': 'No_rel'}, {'span': ['8', '12'], 'label': 'No_rel'}, {'span': ['9', '12'], 'label': 'No_rel'}, {'span': ['10', '12'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'No_rel'}, {'span': ['12', '0'], 'label': 'root'}]}"
28,रसअसृक्मांसमेदःअस्थिमज्जशुक्राणि धातवः (सन्ति) .,"{'tokens': ['रसअसृक्मांसमेदःअस्थिमज्जशुक्राणि', 'धातवः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '11'], 'label': 'Comp_root'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
29,सप्त दूष्याः (सन्ति) .,"{'tokens': ['सप्त', 'दूष्याः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
30,मलाः मूत्रशकृत्स्वेदआदयः अपि च (सन्ति) .,"{'tokens': ['मलाः', 'मूत्रशकृत्स्वेदआदयः', 'अपि', 'च', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'समाहार-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'षष्ठी-बहुव्रीहिः'}, {'span': ['5', '10'], 'label': 'Comp_root'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
31,वृद्धिः समानैः सर्वेषाम् .,"{'tokens': ['वृद्धिः', 'समानैः', 'सर्वेषाम्', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
32,विपरीतैः विपर्ययः .,"{'tokens': ['विपरीतैः', 'विपर्ययः', '.'], 'compounds': [{'span': ['1', '4'], 'label': 'No_rel'}, {'span': ['2', '4'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'No_rel'}, {'span': ['4', '0'], 'label': 'root'}]}"
33,रसाः स्वादुअम्ललवणतिक्तऊषणकषायकाः (सन्ति) .,"{'tokens': ['रसाः', 'स्वादुअम्ललवणतिक्तऊषणकषायकाः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
34,षट् द्रव्यम् आश्रिताः ते च यथापूर्वम् बलआवहाः (सन्ति) .,"{'tokens': ['षट्', 'द्रव्यम्', 'आश्रिताः', 'ते', 'च', 'यथापूर्वम्', 'बलआवहाः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '12'], 'label': 'No_rel'}, {'span': ['2', '12'], 'label': 'No_rel'}, {'span': ['3', '12'], 'label': 'No_rel'}, {'span': ['4', '12'], 'label': 'No_rel'}, {'span': ['5', '12'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'अव्ययीभावः'}, {'span': ['7', '12'], 'label': 'Comp_root'}, {'span': ['8', '9'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['9', '12'], 'label': 'Comp_root'}, {'span': ['10', '12'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'No_rel'}, {'span': ['12', '0'], 'label': 'root'}]}"
