sentence,gold
ते तु पृथक् तन्त्राणि तेनिरे .,"{""tokens"": [""ते"", ""तु"", ""पृथक्"", ""तन्त्राणि"", ""तेनिरे"", "".""], ""compounds"": ""1\tते\tते\t7\tCompNo\t_\tNo_rel\n2\tतु\tतु\t7\tCompNo\t_\tNo_rel\n3\tपृथक्\tपृथक्\t7\tCompNo\t_\tNo_rel\n4\tतन्त्राणि\tतन्त्राणि\t7\tCompNo\t_\tNo_rel\n5\tतेनिरे\tतेनिरे\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तेभ्यः अतिविप्रकीर्णेभ्यः प्रायः सारतरउच्चयः क्रियते .,"{""tokens"": [""तेभ्यः"", ""अति"", ""विप्रकीर्णेभ्यः"", ""प्रायः"", ""सारतर"", ""उच्चयः"", ""क्रियते"", "".""], ""compounds"": ""1\tतेभ्यः\tतेभ्यः\t9\tCompNo\t_\tNo_rel\n2\tअति-\tअति-विप्रकीर्णेभ्यः\t3\tComp2\t_\tअव्ययीभावः\n3\tविप्रकीर्णेभ्यः\t--\t9\tComp2\t_\tComp_root\n4\tप्रायः\tप्रायः\t9\tCompNo\t_\tNo_rel\n5\tसारतर-\tसारतर-उच्चयः\t6\tComp2\t_\tषष्ठी-तत्पुरुषः\n6\tउच्चयः\t--\t9\tComp2\t_\tComp_root\n7\tक्रियते\tक्रियते\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अष्टअङ्गहृदयम् नअतिसङ्क्षेपविस्तरम् (क्रियते) .,"{""tokens"": [""अष्ट"", ""अङ्ग"", ""हृदयम्"", ""न"", ""अति"", ""सङ्क्षेप"", ""विस्तरम्"", ""(क्रियते)"", "".""], ""compounds"": ""1\tअष्ट-\tअष्ट-अङ्ग-हृदयम्\t2\tComp3\t_\tकर्मधारयः\n2\tअङ्ग-\t--\t3\tComp3\t_\tषष्ठी-तत्पुरुषः\n3\tहृदयम्\t--\t10\tComp3\t_\tComp_root\n4\tन-\tन-अति-सङ्क्षेप-विस्तरम्\t5\tComp4\t_\tकेवलसमासः\n5\tअति-\t--\t6\tComp4\t_\tसप्तमी-बहुव्रीहिः\n6\tसङ्क्षेप-\t--\t7\tComp4\t_\tइतरेतर-द्वन्द्वः\n7\tविस्तरम्\t--\t10\tComp4\t_\tComp_root\n8\t(क्रियते)\t(क्रियते)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
कायबालग्रहऊर्ध्वअङ्गशल्यदंष्ट्राजरावृषान् अष्टौ अङ्गानि तस्य आहुः .,"{""tokens"": [""काय"", ""बाल"", ""ग्रह"", ""ऊर्ध्व"", ""अङ्ग"", ""शल्य"", ""दंष्ट्रा"", ""जरा"", ""वृषान्"", ""अष्टौ"", ""अङ्गानि"", ""तस्य"", ""आहुः"", "".""], ""compounds"": ""1\tकाय-\tकाय-बाल-ग्रह-ऊर्ध्व-अङ्ग-शल्य-दंष्ट्रा-जरा-वृषान्\t2\tComp9\t_\tइतरेतर-द्वन्द्वः\n2\tबाल-\t--\t3\tComp9\t_\tइतरेतर-द्वन्द्वः\n3\tग्रह-\t--\t4\tComp9\t_\tइतरेतर-द्वन्द्वः\n4\tऊर्ध्व-\t--\t5\tComp9\t_\tकर्मधारयः\n5\tअङ्ग-\t--\t6\tComp9\t_\tइतरेतर-द्वन्द्वः\n6\tशल्य-\t--\t7\tComp9\t_\tइतरेतर-द्वन्द्वः\n7\tदंष्ट्रा-\t--\t8\tComp9\t_\tइतरेतर-द्वन्द्वः\n8\tजरा-\t--\t9\tComp9\t_\tइतरेतर-द्वन्द्वः\n9\tवृषान्\t--\t15\tComp9\t_\tComp_root\n10\tअष्टौ\tअष्टौ\t15\tCompNo\t_\tNo_rel\n11\tअङ्गानि\tअङ्गानि\t15\tCompNo\t_\tNo_rel\n12\tतस्य\tतस्य\t15\tCompNo\t_\tNo_rel\n13\tआहुः\tआहुः\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
चिकित्सा येषु संश्रिता .,"{""tokens"": [""चिकित्सा"", ""येषु"", ""संश्रिता"", "".""], ""compounds"": ""1\tचिकित्सा\tचिकित्सा\t5\tCompNo\t_\tNo_rel\n2\tयेषु\tयेषु\t5\tCompNo\t_\tNo_rel\n3\tसंश्रिता\tसंश्रिता\t5\tCompNo\t_\tNo_rel\n4\t.\t.\t5\tCompNo\t_\tNo_rel\n5\tDUMMY\t_\t0\tCompNo\t_\troot""}"
वायुः पित्तम् कफः च इति त्रयः दोषाः समासतः (सन्ति) .,"{""tokens"": [""वायुः"", ""पित्तम्"", ""कफः"", ""च"", ""इति"", ""त्रयः"", ""दोषाः"", ""समासतः"", ""(सन्ति)"", "".""], ""compounds"": ""1\tवायुः\tवायुः\t11\tCompNo\t_\tNo_rel\n2\tपित्तम्\tपित्तम्\t11\tCompNo\t_\tNo_rel\n3\tकफः\tकफः\t11\tCompNo\t_\tNo_rel\n4\tच\tच\t11\tCompNo\t_\tNo_rel\n5\tइति\tइति\t11\tCompNo\t_\tNo_rel\n6\tत्रयः\tत्रयः\t11\tCompNo\t_\tNo_rel\n7\tदोषाः\tदोषाः\t11\tCompNo\t_\tNo_rel\n8\tसमासतः\tसमासतः\t11\tCompNo\t_\tNo_rel\n9\t(सन्ति)\t(सन्ति)\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
विकृतअविकृताः देहम् ते घ्नन्ति (ते) वर्तयन्ति च .,"{""tokens"": [""विकृत"", ""अ"", ""विकृताः"", ""देहम्"", ""ते"", ""घ्नन्ति"", ""(ते)"", ""वर्तयन्ति"", ""च"", "".""], ""compounds"": ""1\tविकृत-\tविकृत-अविकृताः\t2\tComp2\t_\tपरामर्शः\n2\tअ-\tअ-विकृताः\t3\tComp2\t_\tComp_root\n3\tविकृताः\t--\t11\tComp2\t_\tपरामर्शः\n4\tदेहम्\tदेहम्\t11\tCompNo\t_\tNo_rel\n5\tते\tते\t11\tCompNo\t_\tNo_rel\n6\tघ्नन्ति\tघ्नन्ति\t11\tCompNo\t_\tNo_rel\n7\t(ते)\t(ते)\t11\tCompNo\t_\tNo_rel\n8\tवर्तयन्ति\tवर्तयन्ति\t11\tCompNo\t_\tNo_rel\n9\tच\tच\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ते व्यापिनः अपि हृत्नाभ्योः अधोमध्यऊर्ध्वसंश्रयाः .,"{""tokens"": [""ते"", ""व्यापिनः"", ""अपि"", ""हृत्"", ""नाभ्योः"", ""अधो"", ""मध्य"", ""ऊर्ध्व"", ""संश्रयाः"", "".""], ""compounds"": ""1\tते\tते\t11\tCompNo\t_\tNo_rel\n2\tव्यापिनः\tव्यापिनः\t11\tCompNo\t_\tNo_rel\n3\tअपि\t--\t11\tCompNo\t_\tNo_rel\n4\tहृत्-\tहृत्-नाभ्योः\t5\tComp2\t_\tइतरेतर-द्वन्द्वः\n5\tनाभ्योः\t--\t11\tComp2\t_\tComp_root\n6\tअधो-\tअधो-मध्य-ऊर्ध्व-संश्रयाः\t7\tComp4\t_\tइतरेतर-द्वन्द्वः\n7\tमध्य-\t--\t8\tComp4\t_\tइतरेतर-द्वन्द्वः\n8\tऊर्ध्व-\t--\t9\tComp4\t_\tषष्ठी-बहुव्रीहिः\n9\tसंश्रयाः\t--\t11\tComp4\t_\tComp_root\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
वयःअहःरात्रिभुक्तानाम् ते अन्तमध्यआदिगाः क्रमात् (भवन्ति) .,"{""tokens"": [""वयः"", ""अहः"", ""रात्रि"", ""भुक्तानाम्"", ""ते"", ""अन्त"", ""मध्य"", ""आदि"", ""गाः"", ""क्रमात्"", ""(भवन्ति)"", "".""], ""compounds"": ""1\tवयः-\tवय-अहः-रात्रि-भुक्तानां\t2\tComp4\t_\tइतरेतर-द्वन्द्वः\n2\tअहः-\t--\t3\tComp4\t_\tइतरेतर-द्वन्द्वः\n3\tरात्रि-\t--\t4\tComp4\t_\tइतरेतर-द्वन्द्वः\n4\tभुक्तानाम्\t--\t13\tComp4\t_\tComp_root\n5\tते\tते\t13\tCompNo\t_\tNo_rel\n6\tअन्त-\tअन्त-मध्य-आदि-गाः\t7\tComp4\t_\tइतरेतर-द्वन्द्वः\n7\tमध्य-\t--\t8\tComp4\t_\tइतरेतर-द्वन्द्वः\n8\tआदि-\t--\t9\tComp4\t_\tउपपद-तत्पुरुषः\n9\tगाः\t--\t13\tComp4\t_\tComp_root\n10\tक्रमात्\tक्रमात्\t13\tCompNo\t_\tNo_rel\n11\t(भवन्ति)\t(भवन्ति)\t13\tCompNo\t_\tNo_rel\n12\t.\t.\t13\tCompNo\t_\tNo_rel\n13\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तैः भवेत् विषमः तीक्ष्णः मन्दः च अग्निः .,"{""tokens"": [""तैः"", ""भवेत्"", ""विषमः"", ""तीक्ष्णः"", ""मन्दः"", ""च"", ""अग्निः"", "".""], ""compounds"": ""1\tतैः\tतैः\t9\tCompNo\t_\tNo_rel\n2\tभवेत्\tभवेत्\t9\tCompNo\t_\tNo_rel\n3\tविषमः\tविषमः\t9\tCompNo\t_\tNo_rel\n4\tतीक्ष्णः\tतीक्ष्णः\t9\tCompNo\t_\tNo_rel\n5\tमन्दः\tमन्दः\t9\tCompNo\t_\tNo_rel\n6\tच\tच\t9\tCompNo\t_\tNo_rel\n7\tअग्निः\tअग्निः\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
समैः समः (भवेत्) .,"{""tokens"": [""समैः"", ""समः"", ""(भवेत्)"", "".""], ""compounds"": ""1\tसमैः\tसमैः\t5\tCompNo\t_\tNo_rel\n2\tसमः\tसमः\t5\tCompNo\t_\tNo_rel\n3\t(भवेत्)\t(भवेत्)\t5\tCompNo\t_\tNo_rel\n4\t.\t.\t5\tCompNo\t_\tNo_rel\n5\tDUMMY\t_\t0\tCompNo\t_\troot""}"
कोष्ठः क्रूरः मृदुः मध्यः (वा) (स्यात्) (तैः) .,"{""tokens"": [""कोष्ठः"", ""क्रूरः"", ""मृदुः"", ""मध्यः"", ""(वा)"", ""(स्यात्)"", ""(तैः)"", "".""], ""compounds"": ""1\tकोष्ठः\tकोष्ठः\t9\tCompNo\t_\tNo_rel\n2\tक्रूरः\tक्रूरः\t9\tCompNo\t_\tNo_rel\n3\tमृदुः\tमृदुः\t9\tCompNo\t_\tNo_rel\n4\tमध्यः\tमध्यः\t9\tCompNo\t_\tNo_rel\n5\t(वा)\t(वा)\t9\tCompNo\t_\tNo_rel\n6\t(स्यात्)\t(स्यात्)\t9\tCompNo\t_\tNo_rel\n7\t(तैः)\t(तैः)\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
मध्यः स्यात् तैः समैः अपि .,"{""tokens"": [""मध्यः"", ""स्यात्"", ""तैः"", ""समैः"", ""अपि"", "".""], ""compounds"": ""1\tमध्यः\tमध्यः\t7\tCompNo\t_\tNo_rel\n2\tस्यात्\tस्यात्\t7\tCompNo\t_\tNo_rel\n3\tतैः\tतैः\t7\tCompNo\t_\tNo_rel\n4\tसमैः\tसमैः\t7\tCompNo\t_\tNo_rel\n5\tअपि\tअपि\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शुक्रआर्तवस्थैः (दोषैः) जन्मआदौ विषेण इव विषक्रिमेः (जन्म) (भवति) तैः च तिस्रः प्रकृतयः हीनमध्यउत्तमाः पृथक् समधातुः समस्तासु श्रेष्ठा निन्द्याः द्विदोषजाः (भवन्ति) .,"{""tokens"": [""शुक्र"", ""आर्तव"", ""स्थैः"", ""(दोषैः)"", ""जन्म"", ""आदौ"", ""विषेण"", ""इव"", ""विष"", ""क्रिमेः"", ""(जन्म)"", ""(भवति)"", ""तैः"", ""च"", ""तिस्रः"", ""प्रकृतयः"", ""हीन"", ""मध्य"", ""उत्तमाः"", ""पृथक्"", ""सम"", ""धातुः"", ""समस्तासु"", ""श्रेष्ठा"", ""निन्द्याः"", ""द्वि"", ""दोष"", ""जाः"", ""(भवन्ति)"", "".""], ""compounds"": ""1\tशुक्र-\tशुक्र-आर्तव-स्थैः\t2\tComp3\t_\tइतरेतर-द्वन्द्वः\n2\tआर्तव-\t--\t3\tComp3\t_\tउपपद-तत्पुरुषः\n3\tस्थैः\t--\t31\tComp3\t_\tComp_root\n4\t(दोषैः)\tदोषैः\t31\tCompNo\t_\tNo_rel\n5\tजन्म-\tजन्म-आदौ\t6\tComp2\t_\tषष्ठी-तत्पुरुषः\n6\tआदौ\t--\t31\tComp2\t_\tComp_root\n7\tविषेण\tविषेण\t31\tCompNo\t_\tNo_rel\n8\tइव\tइव\t31\tCompNo\t_\tNo_rel\n9\tविष-\tविष-क्रिमेः\t10\tComp2\t_\tमध्यमपदलोपी-कर्मधारयः\n10\tक्रिमेः\t--\t31\tComp2\t_\tComp_root\n11\t(जन्म)\tजन्म\t31\tCompNo\t_\tNo_rel\n12\t(भवति)\tभवति\t31\tCompNo\t_\tNo_rel\n13\tतैः\tतैः\t31\tCompNo\t_\tNo_rel\n14\tच\tच\t31\tCompNo\t_\tNo_rel\n15\tतिस्रः\tतिस्रः\t31\tCompNo\t_\tNo_rel\n16\tप्रकृतयः\tप्रकृतयः\t31\tCompNo\t_\tNo_rel\n17\tहीन-\tहीन-मध्य-उत्तमाः\t18\tComp3\t_\tइतरेतर-द्वन्द्वः\n18\tमध्य-\t--\t19\tComp3\t_\tइतरेतर-द्वन्द्वः\n19\tउत्तमाः\t--\t31\tComp3\t_\tComp_root\n20\tपृथक्\tपृथक्\t31\tCompNo\t_\tNo_rel\n21\tसम-\tसम-धातुः\t22\tComp2\t_\tबहुव्रीहिः\n22\tधातुः\t--\t31\tComp2\t_\tComp_root\n23\tसमस्तासु\tसमस्तासु\t31\tCompNo\t_\tNo_rel\n24\tश्रेष्ठा\tश्रेष्ठा\t31\tCompNo\t_\tNo_rel\n25\tनिन्द्याः\tनिन्द्याः\t31\tCompNo\t_\tNo_rel\n26\tद्वि-\tद्वि-दोष-जाः\t27\tComp3\t_\tसमाहार-द्विगुः\n27\tदोष-\t--\t28\tComp3\t_\tउपपद-तत्पुरुषः\n28\tजाः\t--\t31\tComp3\t_\tComp_root\n29\t(भवन्ति)\tभवन्ति\t31\tCompNo\t_\tNo_rel\n30\t.\t.\t31\tCompNo\t_\tNo_rel\n31\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तत्र रूक्षः लघुः शीतः खरः सूक्ष्मः चलः (च) अनिलः (अस्ति) .,"{""tokens"": [""तत्र"", ""रूक्षः"", ""लघुः"", ""शीतः"", ""खरः"", ""सूक्ष्मः"", ""चलः"", ""(च)"", ""अनिलः"", ""(अस्ति)"", "".""], ""compounds"": ""1\tतत्र\tतत्र\t12\tCompNo\t_\tNo_rel\n2\tरूक्षः\tरूक्षः\t12\tCompNo\t_\tNo_rel\n3\tलघुः\tलघुः\t12\tCompNo\t_\tNo_rel\n4\tशीतः\tशीतः\t12\tCompNo\t_\tNo_rel\n5\tखरः\tखरः\t12\tCompNo\t_\tNo_rel\n6\tसूक्ष्मः\tसूक्ष्मः\t12\tCompNo\t_\tNo_rel\n7\tचलः\tचलः\t12\tCompNo\t_\tNo_rel\n8\t(च)\t(च)\t12\tCompNo\t_\tNo_rel\n9\tअनिलः\tअनिलः\t12\tCompNo\t_\tNo_rel\n10\t(अस्ति)\t(अस्ति)\t12\tCompNo\t_\tNo_rel\n11\t.\t.\t12\tCompNo\t_\tNo_rel\n12\tDUMMY\t_\t0\tCompNo\t_\troot""}"
पित्तम् सस्नेहतीक्ष्णउष्णम् लघु विस्रम् सरम् द्रवम् (च) (अस्ति) .,"{""tokens"": [""पित्तम्"", ""स"", ""स्नेह"", ""तीक्ष्ण"", ""उष्णम्"", ""लघु"", ""विस्रम्"", ""सरम्"", ""द्रवम्"", ""(च)"", ""(अस्ति)"", "".""], ""compounds"": ""1\tपित्तम्\tपित्तम्\t13\tCompNo\t_\tNo_rel\n2\tस-\tस-स्नेह-तीक्ष्ण-उष्णम्\t3\tComp4\t_\tसहपूर्वपद-व्यधिकरण-बहुव्रीहिः\n3\tस्नेह-\t--\t4\tComp4\t_\tइतरेतर-द्वन्द्वः\n4\tतीक्ष्ण-\t--\t5\tComp4\t_\tइतरेतर-द्वन्द्वः\n5\tउष्णम्\t--\t13\tComp4\t_\tComp_root\n6\tलघु\tलघु\t13\tCompNo\t_\tNo_rel\n7\tविस्रम्\tविस्रम्\t13\tCompNo\t_\tNo_rel\n8\tसरम्\tसरम्\t13\tCompNo\t_\tNo_rel\n9\tद्रवम्\tद्रवम्\t13\tCompNo\t_\tNo_rel\n10\t(च)\t(च)\t13\tCompNo\t_\tNo_rel\n11\t(अस्ति)\t(अस्ति)\t13\tCompNo\t_\tNo_rel\n12\t.\t.\t13\tCompNo\t_\tNo_rel\n13\tDUMMY\t_\t0\tCompNo\t_\troot""}"
